==> /mnt/v0/result_v2/datasets/1351[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2,0,0,0,4267,4267,0,0,1,1
0,0,2,0,0,0,4267,4267,0,0,1,1
0,0,2,0,0,0,4267,4267,0,0,1,1
0,0,2,0,0,0,1751,1751,0,0,1,1
0,0,2,0,0,0,4267,4267,0,0,1,1
0,0,9,0,0,0,7284,22,0,0,1,0

==> /mnt/v0/result_v2/datasets/2016_LUN1[0.2].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,43203,28802,0,0,4096,0
0,0,3,0,0,0,43203,28802,0,0,4096,0
0,0,4,0,0,0,43203,3203,0,0,4096,0
0,0,4,0,0,0,43203,3203,0,0,4096,0
0,0,4,0,0,0,43203,3203,0,0,4096,0
0,0,4,0,0,0,43203,3203,0,0,4096,0
0,0,4,0,0,0,43203,3203,0,0,28672,0
0,0,4,0,0,0,43203,3203,0,0,24576,0
0,0,4,0,0,0,43203,3205,0,0,4096,0

==> /mnt/v0/result_v2/datasets/2016_LUN1[0.2,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2,0,0,0,14401,14401,0,0,1,0
0,0,2,0,0,0,14401,14401,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,4267,4267,0,0,1,0
0,0,2,0,0,0,1751,1751,0,0,1,0

==> /mnt/v0/result_v2/datasets/2016_LUN1[0.4].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,13,0,0,0,360029,57606,0,0,4096,0
0,0,3,0,0,0,176845,83207,0,0,32768,0
0,0,13,0,0,0,360029,57606,0,0,4096,0
0,0,25,0,0,0,360029,5933,0,0,4096,0
0,0,25,0,0,0,360029,5933,0,0,4096,0
0,0,25,0,0,0,360029,5933,0,0,4096,0
0,0,25,0,0,0,360029,5933,0,0,4096,0
0,0,25,0,0,0,360029,5933,0,0,28672,0
0,0,25,0,0,0,360029,5933,0,0,24576,0

==> /mnt/v0/result_v2/datasets/2016_LUN1[0.4,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,12,0,0,0,302423,14402,0,0,1,0
0,0,3,0,0,0,176845,83207,0,0,1,0
0,0,12,0,0,0,302423,14402,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0
0,0,22,0,0,0,302423,2980,0,0,1,0

==> /mnt/v0/result_v2/datasets/7[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,107,0,0,0,1577808089,0,0,0,4096,0
0,0,232,0,0,0,1577808091,0,0,0,4096,0
0,0,11,0,0,0,1577808017,1,0,0,8192,1
0,0,82,0,0,0,1577808089,0,0,0,4096,0
0,0,216,0,0,0,1577808090,0,0,0,4096,0
0,0,19,0,0,0,1577808047,0,0,0,8192,1
0,0,62,0,0,0,1577808090,0,0,0,4096,0
0,0,196,0,0,0,1577808094,0,0,0,4096,0
0,0,4,0,0,0,1577808002,1,0,0,8192,1

==> /mnt/v0/result_v2/datasets/7[0.001,ignore_obj_size].csv <==
